OwnerAge,Gender,Breed,DogAge
50,M,Saluki,5
60,W,Mops,9
20,W,Mittelpudel,5
60,M,Yorkshire Terrier,11
50,W,Labrador Retriever,9
70,W,Chihuahua,6
40,M,Jack Russel Terrier,9
30,W,Podenco,1
40,W,Pekingese,12
50,M,Lagotto Romagnolo,8
50,M,Tschechoslowakischer Wolfshund,0
50,W,Flat Coated Retriever,5
60,W,Jack Russel Terrier,9
30,M,Sheltie,8
40,M,Terrier,10
50,M,Berner Sennenhund,9
30,M,Labrador Retriever,9
40,W,Zwergpudel,11
40,W,Zwergpudel,11
50,M,Bergamasker,8
70,W,Chihuahua,6
70,W,Pekingese,13
60,W,Coton de Tulear,10
70,M,Labrador Retriever,12
50,W,Yorkshire Terrier,8
60,W,Pekingese,12
60,W,Pekingese,6
20,W,Chihuahua,8
30,W,Zwergschnauzer,9
60,W,Pudel,5
40,W,Yorkshire Terrier,9
50,W,Pinscher,14
70,W,Jack Russel Terrier,8
40,M,Jack Russel Terrier,11
50,W,Zwergspitz,8
50,W,Malteser,8
80,M,Golden Retriever,7
60,W,Terrier,20
999,W,Mops,8
60,W,Bologneser,6
60,W,Labrador,0
30,W,Australian Shepherd,5
30,W,Australian Shepherd,2
60,W,Golden Retriever,11
60,W,Chihuahua,0
60,W,Pudel,9
60,M,Malteser,9
20,M,Golden Retriever,8
50,W,West Highland White Terrier,12
40,M,Schweizer Sennenhund,8
50,W,Papillon,0
40,W,Yorkshire Terrier,8
50,W,Border Collie,7
30,M,Tervueren,0
20,W,Chihuahua,7
20,W,Chihuahua,7
20,W,Zwergpudel,8
30,W,Silky Terrier,9
40,M,Parson Jack Russell Terrier,7
50,M,Rottweiler,9
30,W,Zwergpinscher,8
60,W,Pudel,11
50,W,Pudel,5
40,M,Französische Bulldogge,5
40,W,Rehpinscher,4
40,W,Zwergpinscher,7
20,W,Chihuahua,8
20,W,Chihuahua,5
30,M,Mops,8
50,W,Berner Sennenhund,3
50,W,Dachshund,8
50,W,Jack Russel Terrier,8
60,M,Bichon frisé,7
70,W,Norfolk Terrier,7
80,W,Lakeland Terrier,9
60,W,Yorkshire Terrier,2
70,W,Schäfer,14
40,M,Labrador Retriever,5
70,W,Dachshund,14
30,M,Deutscher Schäfer,10
30,M,Pit Bull Terrier,5
40,W,Magyar Viszla,2
50,W,Jack Russel Terrier,8
30,M,Beagle,7
60,W,Dalmatiner,7
30,M,Schäfer,11
30,W,Pudel,9
999,W,Yorkshire Terrier,5
60,W,Appenzeller Sennenhund,15
60,W,Husky,15
20,W,Chihuahua,7
20,W,Chihuahua,7
70,W,Shih Tzu,8
60,W,Malteser,6
40,W,Malteser,14
40,W,Chihuahua,6
20,W,Jack Russel Terrier,9
40,M,Pinscher,7
60,W,Mops,7
50,M,Zwergpudel,7
70,W,Labrador Retriever,7
70,M,West Highland White Terrier,7
20,M,Jack Russel Terrier,7
40,W,Malteser,6
60,W,Rauhaar Dackel,7
70,W,Groenendael,13
50,W,Gordon Setter,1
30,W,Yorkshire Terrier,8
30,W,Appenzeller Sennenhund,7
50,W,Sennenhund,7
40,M,Yorkshire Terrier,6
50,M,Chihuahua,6
40,W,Malteser,11
40,M,Bichon maltais,14
60,M,Berner Sennenhund,0
50,W,Pinscher,7
50,W,Papillon,6
50,M,Beagle,9
40,W,Golden Retriever,6
50,M,Chow Chow,8
30,W,Mops,8
60,W,Chihuahua,6
60,W,Chihuahua,0
50,W,Cavalier King Charles Spaniel,0
60,W,Bergamasker,7
20,M,Mops,7
20,W,Französische Bulldogge,1
40,W,Irish Terrier,10
40,M,Cocker Spaniel,6
999,M,Jack Russel Terrier,8
20,W,Zwergpinscher,9
40,W,Beagle,5
60,W,Chihuahua,6
70,M,Entlebucher Sennenhund,13
50,M,Malteser,12
40,W,Zwergpinscher,7
30,W,Yorkshire Terrier,7
30,W,Yorkshire Terrier,7
40,W,Bearded Collie,6
40,M,Zwergpudel,1
50,M,Pekingese,5
20,W,Schäfer,0
20,M,Border Collie,6
50,W,Jack Russel Terrier,12
50,W,Continental Bulldog,5
60,M,Chihuahua,7
60,W,English Setter,8
50,W,Labrador Retriever,6
50,W,Malteser,2
30,W,Zwergpinscher,5
60,M,Cairn Terrier,5
20,M,Chihuahua,6
20,M,Shar Pei,8
60,W,Pinscher,7
80,M,Yorkshire Terrier,11
80,M,Yorkshire Terrier,11
70,W,Pudel,5
60,W,Dachshund,6
60,W,Dachshund,1
60,W,Labrador Retriever,6
40,W,Chihuahua,7
40,W,Chihuahua,3
40,W,Shih Tzu,2
40,W,Shih Tzu,1
40,W,Shih Tzu,0
40,W,Bolonka Zwetna,5
40,W,Löwchen,8
60,M,Portugiesischer Wasserhund,5
40,W,Australian Terrier,5
30,W,Australian Shepherd,6
60,W,Pudel,5
60,W,Pudel,4
40,M,Cocker Spaniel,10
60,W,Irish Soft Coated Wheaten Terrier,5
30,W,Chihuahua,5
50,M,Französische Bulldogge,5
40,W,Galgo Espanol,8
40,M,Jack Russel Terrier,6
40,M,Jack Russel Terrier,3
50,W,Golden Retriever,5
40,M,English Setter,9
50,M,Parson Russell Terrier,6
40,W,Jack Russel Terrier,5
60,W,Tibet Terrier,5
50,W,Chihuahua,5
20,W,Chihuahua,5
40,W,Chihuahua,4
40,W,Dachshund,1
60,W,Labrador Retriever,9
40,W,Pinscher,5
50,M,Labrador Retriever,5
20,W,Labrador Retriever,7
40,W,Mops,5
40,W,Mops,0
50,W,Golden Retriever,5
30,W,Jack Russel Terrier,7
50,W,Havaneser,5
60,M,Shiba Inu,5
30,M,Labrador Retriever,11
30,M,Labrador Retriever,9
30,W,Parson Russell Terrier,5
20,W,Havaneser,5
70,M,Yorkshire Terrier,12
30,M,Berner Sennenhund,6
60,M,Jack Russel Terrier,3
30,M,Parson Russell Terrier,5
30,W,Border Terrier,6
30,W,Pinscher,1
30,M,Jack Russel Terrier,7
50,W,Labrador Retriever,5
40,M,Berner Sennenhund,1
40,W,Basset Hound,12
60,W,Dachshund,8
60,M,Australian Shepherd,5
40,W,Entlebucher Sennenhund,6
30,M,Mops,5
60,M,Jack Russel Terrier,4
30,M,Französische Bulldogge,6
30,W,Havaneser,5
40,W,Chihuahua,5
40,W,Yorkshire Terrier,5
40,W,Yorkshire Terrier,5
40,W,Zwergspitz,11
60,W,Golden Retriever,12
40,W,Shar Pei,5
40,M,Chihuahua,8
40,M,Chihuahua,3
70,W,Cairn Terrier,9
40,W,Malteser,1
40,W,Yorkshire Terrier,4
30,W,Englische Bulldogge,2
50,M,Coton de Tulear,7
50,W,Terrier,8
20,W,Eurasier,7
40,M,Spaniel,9
40,M,Jack Russel Terrier,8
60,M,Prager Rattler,12
50,W,Chihuahua,6
50,W,Cairn Terrier,12
50,W,Dachshund,10
20,W,Chihuahua,6
20,W,Chihuahua,4
20,W,Chihuahua,1
30,W,Petit Basset Griffon Vendéen,7
20,W,Hirtenhund,5
70,M,Bardino,8
60,W,Yorkshire Terrier,9
50,W,Chihuahua,5
50,W,Chihuahua,1
60,W,Chihuahua,6
30,W,Labrador Retriever,5
70,M,Tibet Terrier,6
30,W,Chihuahua,6
30,W,Chihuahua,3
40,W,Parson Russell Terrier,7
50,M,Berger de Picardie,6
40,W,Chihuahua,4
40,W,Zwergschnauzer,6
60,M,Flat Coated Retriever,7
50,M,Dachshund,11
40,W,Foxterrier,1
40,W,Shih Tzu,1
30,W,Pinscher,7
40,W,Schäfer,7
30,W,Russischer schwarzer Terrier,6
70,W,Zwergschnauzer,6
999,M,Boxer,0
30,W,Chihuahua,6
40,W,Chihuahua,1
30,M,Jack Russel Terrier,6
30,M,Zwergpinscher,3
50,W,Pekingese,9
30,W,Labrador Retriever,11
30,M,Continental Bulldog,5
60,M,Jack Russel Terrier,6
30,M,American Staffordshire Terrier,9
30,W,West Highland White Terrier,8
40,W,Bichon Havanais,15
30,M,Yorkshire Terrier,7
50,M,Chihuahua,6
40,M,Cairn Terrier,5
40,W,Chihuahua,6
40,M,Chihuahua,4
40,M,Yorkshire Terrier,6
60,W,West Highland White Terrier,9
50,W,Pekingese,8
30,W,Chihuahua,6
30,W,Chihuahua,4
40,W,Dachshund,6
30,W,Chihuahua,6
50,W,Toy Pudel,12
40,M,Labrador Retriever,11
30,W,Whippet,12
40,M,Jack Russel Terrier,8
50,M,Foxterrier,6
40,W,Border Collie,6
40,M,Pekingese,6
40,W,Chihuahua,7
40,W,Chihuahua,3
80,W,Papillon,14
50,M,Malteser,7
40,M,Boxer,5
40,M,Mops,9
30,W,Chihuahua,7
60,M,Afghanischer Windhund,5
30,W,Rehpinscher,8
50,M,Königspudel,5
60,W,Toypudel,6
50,M,Golden Retriever,6
30,W,Malteser,3
30,W,Zwergpudel,5
20,W,Mops,6
40,M,Gordon Setter,5
60,M,Golden Retriever,12
20,W,Schäfer,5
30,W,Mops,9
30,M,Berner Sennenhund,11
30,W,Mops,6
30,W,Chihuahua,6
30,M,Appenzeller Sennenhund,7
30,M,Französische Bulldogge,7
60,W,Mops,7
20,W,Chihuahua,6
60,M,Cocker Spaniel,9
50,W,Labrador,3
60,W,Mops,6
30,M,Zwergpinscher,11
30,M,Zwergpinscher,9
50,W,Chihuahua,10
50,W,Terrier,5
50,M,Zwergpudel,9
40,M,Dogo Argentino,8
50,M,Chihuahua,5
60,W,West Highland White Terrier,12
60,W,Yorkshire Terrier,5
30,W,Toller,1
30,W,Podenco,5
20,W,Chihuahua,9
20,W,Spitz,0
40,M,Parson Jack Russell Terrier,10
30,M,Pekingese,5
40,M,West Highland White Terrier,11
30,M,Jack Russel Terrier,6
60,W,Zwergpinscher,7
40,W,Gordon Setter,5
20,W,Schäfer,9
20,W,Bichon frisé,10
30,M,American Staffordshire Terrier,8
30,W,Mops,10
40,W,West Highland White Terrier,11
40,W,West Highland White Terrier,10
60,W,Chihuahua,5
40,M,Deutscher Schäfer,10
40,W,Golden Retriever,0
30,W,Norwich Terrier,11
60,M,Jack Russel Terrier,5
50,M,Labrador Retriever,3
50,M,Bernhardiner,7
30,M,Französische Bulldogge,5
50,W,Bologneser,7
60,W,Labrador Retriever,11
40,W,Jack Russel Terrier,11
30,W,Dachshund,6
70,W,Mops,3
20,W,Französische Bulldogge,2
40,M,Chihuahua,6
40,M,Chihuahua,5
30,W,Chihuahua,9
40,M,Schäfer,4
30,M,Sennenhund,2
40,M,Malteser,2
70,W,Mudi,5
60,W,Eurasier,5
30,W,Berner Sennenhund,7
30,W,Jack Russel Terrier,0
60,M,Schäfer,5
50,M,Bolonka Zwetna,7
50,W,Bolonka Zwetna,7
50,W,Cocker Spaniel,6
50,W,Rhodesian Ridgeback,4
50,W,Yorkshire Terrier,5
20,M,Chihuahua,5
20,M,Deutscher Schäfer,8
999,M,Jack Russel Terrier,7
40,W,Jack Russel Terrier,5
30,W,Bolonka Zwetna,4
50,W,Foxterrier,4
30,W,Yorkshire Terrier,12
30,W,Yorkshire Terrier,6
40,W,Dalmatiner,7
40,M,Parson Russell Terrier,11
40,W,English Cocker Spaniel,5
30,W,Pekingese,7
60,W,Yorkshire Terrier,5
20,W,Pudel,5
30,W,Labrador Retriever,5
30,W,Australian Shepherd,4
30,W,Australian Shepherd,1
50,W,Englische Bulldogge,5
70,W,Jack Russel Terrier,6
40,M,Jack Russel Terrier,7
30,W,Chihuahua,5
40,W,Cavalier King Charles Spaniel,4
30,W,Rehpinscher,5
30,M,Shih Tzu,4
60,W,Pudel,5
40,W,Border Collie,5
30,M,American Cocker Spaniel,5
30,W,Border Collie,10
60,W,Pekingese,5
70,W,Chihuahua,7
40,W,Pudel,5
70,M,Tibetan Spaniel,5
40,W,Pekingese,7
50,M,Schäfer,5
60,W,Bullmastiff,5
30,W,Boxer,5
60,W,Pekingese,11
40,W,Chihuahua,9
60,W,Dachshund,4
70,W,West Highland White Terrier,9
50,W,Volpino Italiano,5
50,W,Border Collie,4
30,W,Yorkshire Terrier,5
60,W,Labrador Retriever,12
70,W,Mittelpudel,5
40,W,Deutscher Jagdterrier,11
50,W,Zwergschnauzer,4
30,W,Chihuahua,6
60,W,Labrador,5
60,W,Labrador Retriever,4
20,M,Jack Russel Terrier,5
30,W,Mops,6
30,W,Pinscher,0
70,M,Labrador Retriever,4
40,W,Französische Bulldogge,5
40,M,Jack Russel Terrier,5
20,W,Chihuahua,5
40,W,Hovawart,4
60,W,Kromfohrländer,4
30,W,Sennenhund,4
60,M,Labrador Retriever,5
50,W,Jack Russel Terrier,11
30,M,Australian Shepherd,11
60,W,Dachshund,5
60,W,Pekingese,7
20,W,Bergamasker,7
50,W,Rhodesian Ridgeback,5
60,M,Malteser,5
60,W,Pudel,7
60,W,West Highland White Terrier,7
60,W,Münsterländer,2
30,W,Cocker Spaniel,9
30,W,Windhund,12
50,W,Beagle,4
60,W,Border Collie,4
30,W,Rhodesian Ridgeback,4
60,W,Chihuahua,11
40,W,Welsh Terrier,4
20,W,Berner Sennenhund,5
20,W,Dogo Canario,2
50,W,Chihuahua,7
30,W,Chihuahua,5
30,M,Cavalier King Charles Spaniel,10
50,W,Husky,6
40,W,Katalanischer Hirtenhund,13
40,W,Golden Retriever,5
30,W,Boston Terrier,0
30,W,Chihuahua,5
50,W,Griffon,5
60,M,Podenco Ibicenco,7
60,M,Chihuahua,5
30,W,Pudel,9
60,M,Pinscher,4
30,W,Podenco,4
20,W,Pekingese,4
50,W,Mops,4
40,W,Pudel,5
40,W,Bolonka Zwetna,5
30,M,Jack Russel Terrier,7
20,W,Beagle,5
50,W,Prager Rattler,4
40,M,Entlebucher,13
30,W,Jack Russel Terrier,8
70,W,Flat Coated Retriever,4
30,W,Labrador Retriever,5
20,W,Mops,2
70,M,Appenzeller,4
50,M,Zwergspitz,7
60,W,Yorkshire Terrier,5
30,W,Yorkshire Terrier,4
30,M,Labrador Retriever,4
30,W,Mops,8
40,W,Golden Retriever,8
60,W,Golden Retriever,4
60,W,Golden Retriever,3
70,M,Pinscher,5
40,W,Galgo Espanol,5
50,W,Yorkshire Terrier,5
30,W,Rehpinscher,5
70,W,Pekingese,7
60,M,Border Collie,5
50,M,Labrador Retriever,5
999,M,Mops,4
30,W,Nova Scotia Duck Tolling Retriever,4
70,M,Portugiesischer Wasserhund,4
40,W,Deutscher Boxer,4
30,M,Boxer,4
50,W,Pekingese,9
50,W,Berger des Pyrenées,4
40,W,Chihuahua,3
50,W,Flat Coated Retriever,5
40,W,Französische Bulldogge,5
30,M,Jack Russel Terrier,5
20,W,Collie,5
50,W,Chihuahua,7
50,W,Chihuahua,5
70,W,Dachshund,8
30,M,Malteser,6
30,W,Labrador Retriever,5
60,W,Hovawart,6
40,M,Shar Pei,2
50,M,Lagotto Romagnolo,4
30,W,Französische Bulldogge,4
40,M,Zwergdackel,4
40,W,Havaneser,4
50,M,Foxterrier,4
30,W,Niederlaufhund,10
40,W,Bolonka Zwetna,5
40,W,Bolonka Zwetna,1
50,W,Airedale Terrier,4
50,W,Jack Russel Terrier,4
30,M,Jack Russel Terrier,4
40,M,Pekingese,3
70,M,Labrador Retriever,4
30,W,Chihuahua,2
30,W,Labrador Retriever,5
30,W,Malteser,3
50,W,Coton de Tulear,4
50,W,Bolonka Zwetna,4
50,W,Bolonka Zwetna,4
30,W,Chihuahua,4
30,M,Französische Bulldogge,4
40,W,West Highland White Terrier,4
50,W,Malteser,4
40,W,Jack Russel Terrier,6
40,W,Jack Russel Terrier,4
50,M,Golden Retriever,7
50,W,Zwergpudel,4
70,M,Jack Russel Terrier,5
80,M,Labrador Retriever,8
40,M,Französische Bulldogge,12
40,W,Französische Bulldogge,9
20,M,Deutscher Schäfer,7
50,W,Terrier,10
40,W,Chihuahua,4
50,M,Cocker Spaniel,11
60,W,Barbet,4
40,M,Magyar Viszla,4
50,W,Lagotto Romagnolo,4
60,W,Malteser,5
50,M,Zwergpudel,5
60,W,Bolonka Zwetna,8
40,M,Mittelspitz,5
50,W,Sheltie,5
40,W,Hirtenhund,4
60,W,Zwergpudel,1
30,W,Bolonka Zwetna,4
30,W,Flat Coated Retriever,4
50,W,Schäfer,9
30,M,Jack Russel Terrier,4
50,W,Jack Russel Terrier,8
30,W,West Highland White Terrier,4
50,W,Dachshund,5
50,W,Dachshund,1
30,W,Border Collie,10
50,W,Chihuahua,7
50,W,Chihuahua,4
30,M,Deutscher Boxer,4
50,M,Lagotto Romagnolo,4
70,W,Border Collie,5
80,M,Pudel,3
40,W,West Highland White Terrier,4
40,W,Landseer,4
30,W,West Highland White Terrier,6
60,W,Dachshund,4
50,W,Sibirischer Husky,12
40,W,Labrador Retriever,4
50,W,Labrador Retriever,4
30,W,West Highland White Terrier,4
40,W,Australian Shepherd,1
70,M,West Highland White Terrier,4
80,W,Labrador Retriever,7
999,M,Spaniel,4
50,W,Malteser,4
60,M,Französische Bulldogge,1
60,W,Airedale Terrier,4
70,W,Terrier,7
40,M,Papillon,8
30,W,Cocker Spaniel,3
30,W,English Cocker Spaniel,4
60,W,Löwchen,15
40,M,Dachshund,14
40,W,Zwergpudel,7
30,W,Zwergschnauzer,5
60,M,Berner Sennenhund,4
30,W,Italienisches Windspiel,5
50,W,Foxterrier,5
30,W,Labrador Retriever,9
80,W,Chihuahua,4
20,W,Chihuahua,4
20,W,Malteser,8
70,M,Golden Retriever,6
30,M,Continental Bulldog,4
70,W,Schäfer,4
40,W,Flat Coated Retriever,4
60,M,Appenzeller Sennenhund,11
60,M,Dachshund,13
30,M,Chihuahua,4
30,M,Chihuahua,4
40,M,Yorkshire Terrier,11
20,W,Shetland Sheepdog,6
30,M,Sennenhund,6
50,M,Belgischer Schäferhund,10
50,M,Welsh Corgi,8
40,W,Border Terrier,1
50,W,Labrador Retriever,4
40,W,Yorkshire Terrier,4
20,W,Golden Retriever,8
30,W,English Cocker Spaniel,4
30,W,Zwergdackel,2
20,M,Pinscher,4
50,W,Labrador Retriever,4
40,M,Scottish Terrier,5
40,W,Irish Terrier,10
40,M,Cocker Spaniel,10
30,W,Deutscher Pinscher,4
40,W,Bolonka Zwetna,4
30,M,Mops,7
40,W,Cocker Spaniel,4
50,W,Yorkshire Terrier,4
70,W,Französische Bulldogge,4
70,W,Lhasa Apso,0
40,W,Malteser,5
40,W,Mops,4
50,W,Bolonka Zwetna,0
50,W,Foxterrier,4
50,W,Chihuahua,6
50,W,Chihuahua,5
50,W,Manchester Terrier,9
40,W,Cocker Spaniel,4
40,W,Labrador Retriever,1
70,W,Pointer,5
50,M,Labrador Retriever,8
50,M,Labrador Retriever,5
60,W,Tibetan Spaniel,4
60,W,Jack Russel Terrier,10
40,M,Shih Tzu,6
70,W,Dachshund,0
30,M,Mops,4
30,M,Samojede,4
50,W,Yorkshire Terrier,6
40,M,Chihuahua,8
50,W,Pinscher,15
30,W,Zwergspitz,9
60,W,Yorkshire Terrier,4
40,M,Jack Russel Terrier,2
30,W,Chihuahua,4
30,W,Galgo Espanol,6
50,M,Dalmatiner,9
70,W,Pekingese,5
80,M,Rauhaar Dackel,12
70,W,Golden Retriever,4
30,W,Boston Terrier,8
40,M,Chihuahua,1
70,M,Beagle,8
50,M,Magyar Viszla,6
30,M,Yorkshire Terrier,8
40,M,Schäfer,12
40,W,Zwergschnauzer,4
30,W,Pudel,4
70,M,Foxterrier,4
30,M,Labrador Retriever,4
30,W,Continental Bulldog,4
30,W,Kerry Blue Terrier,8
30,W,Labrador Retriever,7
20,M,Appenzeller Sennenhund,7
50,W,Labrador Retriever,4
30,M,Continental Bulldog,3
30,M,Deutscher Schäfer,9
40,W,Golden Retriever,4
50,W,Cairn Terrier,4
30,M,Mops,4
50,M,Groenendael,3
30,M,Terrier,10
80,W,Pinscher,10
50,W,Labrador Retriever,12
40,W,Tibet Terrier,12
20,W,Chihuahua,4
60,M,Dachshund,6
60,M,West Highland White Terrier,10
20,W,Yorkshire Terrier,4
60,W,Bolonka Zwetna,0
40,W,Pekingese,4
50,W,Chihuahua,4
50,W,Chihuahua,4
50,W,Chihuahua,3
70,W,Chihuahua,5
40,W,Jack Russel Terrier,10
40,W,Jack Russel Terrier,6
30,W,Border Collie,4
40,W,Malteser,4
50,W,Border Terrier,4
50,W,Border Terrier,2
60,W,Shih Tzu,10
40,W,Zwergspitz,10
50,M,Samojede,9
40,M,American Bulldog,9
30,M,Cavalier King Charles Spaniel,0
30,M,Appenzeller Sennenhund,6
30,M,Bordeauxdogge,3
30,W,Schäfer,7
30,W,Schäfer,7
40,M,Labrador Retriever,4
30,W,Beagle,5
30,W,Whippet,4
50,M,Labrador Retriever,4
50,W,Grosspudel,9
40,W,Border Collie,0
30,W,Cocker Spaniel,4
50,W,Dachshund,4
30,M,Labrador Retriever,5
50,W,Toy Pudel,4
30,W,Akita Inu,13
40,W,Chinese Crested,6
40,W,Chinese Crested,5
40,W,Chinese Crested,4
40,W,Chinese Crested,4
40,W,Chinese Crested,3
40,W,Papillon,2
40,W,Papillon,1
40,W,Papillon,0
50,M,Golden Retriever,7
50,M,Miniature Australian Shepherd,6
30,W,Border Collie,4
50,W,Pudel,3
30,W,Cocker Spaniel,6
30,M,Spaniel,6
50,M,Chihuahua,1
30,W,Pekingese,3
40,W,Labrador,4
60,M,Lagotto Romagnolo,3
70,W,Havaneser,0
30,W,Pekingese,5
40,M,Labrador Retriever,9
30,W,Beagle,6
60,W,Langhaardackel,4
60,W,Miniature Bull Terrier,3
30,W,Zwergspitz,4
40,W,Deutscher Schäfer,0
40,W,Irish Terrier,1
90,W,Sennenhund,9
40,W,Epagneul bleu de Picardie,11
50,M,Foxterrier,3
50,M,Border Collie,4
30,M,Mops,11
30,M,Mops,8
70,W,Labrador Retriever,7
30,M,Mops,3
30,W,Basset Hound,4
30,W,Parson Jack Russell Terrier,4
30,W,Jack Russel Terrier,9
50,W,Labrador Retriever,4
40,M,Chihuahua,4
40,W,$Labradoodle$,4
50,W,Chihuahua,6
50,W,Chihuahua,4
30,M,Mops,3
60,W,Mittelpudel,4
60,W,Lhasa Apso,10
40,M,Shih Tzu,3
40,M,Affenpinscher,7
50,W,Parson Russell Terrier,4
30,W,Cairn Terrier,6
70,W,West Highland White Terrier,3
50,M,Yorkshire Terrier,4
40,M,Lagotto Romagnolo,3
40,M,Slovensky Cuvac,0
40,W,Parson Russell Terrier,6
30,W,Chihuahua,9
30,W,Chihuahua,6
20,W,Chihuahua,6
30,W,Schäfer,7
70,W,Pudel,8
30,W,Malteser,4
50,W,Shiba Inu,3
40,W,Löwchen,4
40,W,Golden Retriever,11
40,W,Zwergpinscher,3
40,M,Boxer,4
50,M,Labrador Retriever,10
50,W,Australian Shepherd,3
30,W,Chihuahua,4
20,W,Chihuahua,4
20,W,Chihuahua,3
40,M,Yorkshire Terrier,3
50,M,Shih Tzu,14
30,W,Boxer,7
70,W,Dachshund,14
40,W,Golden Retriever,3
30,W,Kooikerhondje,3
30,W,Mops,6
70,W,Pudel,4
80,W,Katalanischer Schäferhund (Gos d'Atura Català),10
50,W,Border Collie,3
50,W,Irish Setter,3
30,W,Chihuahua,3
40,W,Golden Retriever,3
30,W,Pudel,5
30,W,Golden Retriever,4
60,W,Lagotto Romagnolo,3
30,W,Jack Russel Terrier,3
30,M,Münsterländer,4
30,M,Deutscher Jagdterrier,2
40,M,Yorkshire Terrier,4
30,W,Papillon,10
40,W,Dachshund,5
70,W,Chihuahua,4
20,M,Mops,3
30,M,Französische Bulldogge,3
50,W,Zwergpudel,3
30,W,Mops,3
40,W,Havaneser,4
50,M,Yorkshire Terrier,8
60,W,Bolonka Zwetna,3
40,W,Mops,5
30,M,Bergamasker,10
30,W,Malteser,3
70,W,Nova Scotia Duck Tolling Retriever,3
30,W,Zwergpinscher,12
30,W,Schäfer,5
50,M,Shih Tzu,3
40,M,Französische Bulldogge,3
50,W,Mops,3
30,W,Jack Russel Terrier,7
40,W,Labrador Retriever,3
30,M,Samojede,3
40,M,Rhodesian Ridgeback,3
30,W,Französische Bulldogge,3
30,W,Golden Retriever,4
40,W,Mops,3
40,W,Chihuahua,3
30,W,West Highland White Terrier,5
30,W,Irish Terrier,5
30,W,Spitz,7
40,M,Beagle,5
60,M,Yorkshire Terrier,3
50,W,Labrador Retriever,3
40,M,Cocker Spaniel,4
60,W,Tibet Terrier,4
60,W,Chihuahua,3
60,W,Chihuahua,4
50,M,Labrador Retriever,3
40,W,Appenzeller,2
30,W,Bolonka Zwetna,3
30,W,Chihuahua,6
40,W,Jack Russel Terrier,3
999,M,Deutscher Schäfer,4
40,W,Zwergpinscher,8
30,W,Rhodesian Ridgeback,3
50,M,Riesenschnauzer,4
20,W,Mops,3
60,W,Airedale Terrier,3
30,W,Labrador Retriever,4
30,W,Tibetan Spaniel,9
30,M,Terrier,4
60,W,Malteser,1
40,M,Mittelschnauzer,3
20,W,Flat Coated Retriever,4
40,M,Boston Terrier,8
40,W,Lhasa Apso,5
40,W,Lhasa Apso,1
30,W,Zwergspitz,3
60,M,West Highland White Terrier,3
50,W,Yorkshire Terrier,4
60,W,Malinois,4
20,W,Dogo Argentino,3
20,W,Jack Russel Terrier,3
50,M,Labrador Retriever,4
30,W,Mops,3
30,W,Boxer,5
40,W,Whippet,6
40,W,Chihuahua,4
20,W,Coton de Tulear,4
60,M,Jack Russel Terrier,3
30,W,Labrador Retriever,12
50,W,Labrador Retriever,3
30,M,Pekingese,3
30,W,Chihuahua,3
50,W,Yorkshire Terrier,5
30,W,Boston Terrier,5
60,M,Galgo,6
40,W,Chihuahua,3
30,W,Border Collie,5
60,W,Welsh Corgi Pembroke,3
20,W,Appenzeller Sennenhund,10
20,W,Schäfer,4
30,W,Labrador Retriever,3
40,W,Labrador Retriever,0
40,W,Labrador Retriever,10
40,M,Beagle,3
60,W,Malteser,3
60,M,Chinese Crested,0
60,M,Chinese Crested Hairless Dog,4
40,W,Yorkshire Terrier,3
50,W,Katalanischer Schäferhund (Gos d'Atura Català),5
50,M,Französische Bulldogge,3
40,W,Jack Russel Terrier,5
30,W,Dachshund,3
40,W,Königspudel,2
30,W,English Cocker Spaniel,3
70,W,Labrador,3
50,M,Labrador Retriever,3
40,W,Chihuahua,5
40,W,Jack Russel Terrier,10
30,W,Cavalier King Charles Spaniel,9
40,M,Shiba Inu,6
30,W,Tervueren,4
60,W,Berger des Pyrenées,3
50,W,Parson Russell Terrier,3
50,W,Parson Russell Terrier,0
50,W,Parson Russell Terrier,0
50,W,Appenzeller Sennenhund,6
30,W,Elo,5
50,W,Jagdhund,3
40,M,Pudel,10
30,W,Scottish Terrier,5
50,W,Appenzeller,4
60,W,Cairn Terrier,8
50,M,Yorkshire Terrier,10
60,W,Chihuahua,4
30,M,Mops,3
30,W,Pinscher,4
50,M,Englische Bulldogge,5
50,M,Pinscher,3
30,W,Französische Bulldogge,3
30,W,Boston Terrier,10
30,M,Hovawart,7
30,M,Shiba Inu,3
50,M,Foxterrier,3
20,W,Jack Russel Terrier,3
40,W,Collie,3
40,W,Bichon frisé,3
30,W,Pinscher,4
50,M,Akita Inu,8
40,W,Grossspitz,3
40,W,Grossspitz,3
70,W,Zwergpudel,3
70,W,Mops,3
50,M,Pinscher,3
50,W,Malteser,3
20,W,Zwergspitz,3
50,W,Pinscher,3
60,M,Welsh Terrier,4
20,W,Chihuahua,3
20,W,Zwergspitz,1
50,M,Labrador Retriever,4
50,W,Yorkshire Terrier,3
70,W,Malteser,3
50,W,Border Collie,4
40,W,Pudel,4
50,W,Pudel,9
40,M,Golden Retriever,12
30,W,Australian Cattle Dog,3
20,W,Border Collie,12
50,M,Labrador Retriever,3
60,M,Zwergpudel,3
20,W,Jack Russel Terrier,5
50,M,Deutscher Schäfer,3
30,M,American Bulldog,6
40,M,Yorkshire Terrier,6
50,W,Labrador Retriever,3
50,W,Labrador Retriever,0
30,W,Kooikerhondje,3
50,W,Jack Russel Terrier,3
70,W,Vizsla,10
